Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,37891.90793,38932.36979,42556.43465,41625.49509,41605.83724,41574.94633,35892.42386,28498.26441,23941.85585,19937.2712,15157.60565,10917.12681,7513.510684,4886.379589,3423.273976,4858.296947
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
