Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,221825.4402,235462.5193,256585.6791,258974.2797,288360.1673,314919.857,296578.3141,249558.313,220276.8387,184298.8358,144462.2341,112129.3109,82084.09444,56400.77236,41826.32005,51525.02385
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
