Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,56237.39717,58605.68776,64239.04377,69454.20304,78784.23926,79154.35455,71064.37228,61011.99624,58516.23391,52522.82617,42236.75196,33733.04565,26930.08059,19026.83322,14962.27406,22535.66037
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
