Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,46787.59789,46521.87038,53833.40315,56403.25277,67035.80427,67814.58144,60384.56411,51197.9844,46638.05427,40731.08121,33442.55516,26534.79017,20224.04933,13792.52326,10056.23339,15614.65478
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
