Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,49572.53471,50475.02559,56951.72484,54119.11691,52862.70804,50136.27551,43777.1276,37241.02069,29318.31364,22568.59194,17687.05164,12695.54396,8411.872269,6507.035077,4520.038352,6483.019214
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
