Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,82777.80244,89259.91942,106185.8565,108872.6135,124173.0205,137200.4227,123423.4237,102591.5821,97215.96262,104712.9831,99332.09956,84940.26277,67695.32593,49822.91764,38903.22992,66663.57758
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
