Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,106587.6831,113259.7245,128085.412,135026.3491,145059.0511,147213.4306,133250.1377,117859.8764,104154.7662,88515.96393,75931.43106,58608.54892,45192.68912,33178.08657,24643.05862,36178.79114
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
