Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,98355.13532,101110.2203,115682.1277,130100.328,153510.3989,154234.6858,141398.971,119715.777,109017.9895,98046.55649,83594.58722,66160.46556,49442.47968,34460.68638,26040.55989,35242.03126
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
