DAY,GAMA_F1,GAMA_F2,GAMA_F3,GAMA_F4,GAMA_F5,GAMA_F6,GAMA_F7,GAMA_F8,GAMA_F9,GAMA_F10,GAMA_F11,GAMA_F12,GAMA_F13,GAMA_F14,GAMA_F15,GAMA_F16,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX
0.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,2.42562238752974,1.369489357588323,0.7739913927722677,0.4432124147190232,0.6610113851473997,1.0692565642566334,1.120721584431198,0.9335865556905062,0.5911932893248426,0.38479385186554416,0.45678139648724275,0.536662163731426,0.45526161588754865,0.3895621268289165,0.2694264007038872,0.17167809073870466
0,,,,,,,,,,,,,,,,,1.3059247330600021,10.783277625444073,2.782779011255136,0.7110530561343344,0.4126665182174955,0.8510124684213477,1.3189525636278936,1.3000441504035338,1.0913242263233283,0.6315599139600938,0.5178069048062335,0.5834874238521434,0.4707232404796529,0.46124346469288496,0.348642717180834,0.2207364581715364
0,,,,,,,,,,,,,,,,,0.64459257402198,3.382049663134199,16.6363516498849,2.87709059290265,0.7040556978788124,0.5756037348536885,0.9605905525000191,1.1624374380029683,1.391089547323558,0.9298402503074579,0.7279500759799461,0.4785437242170571,0.30920683406695504,0.39578264316039136,0.3904206730373053,0.3135350795138599
0,,,,,,,,,,,,,,,,,0.3864307923986047,0.8701704239098543,5.421661706451493,19.83839294999285,3.3757662493049687,1.4343812298789673,0.910184142442487,1.1392353688247507,1.4930178690132703,1.6650267812873554,1.0806941392199363,0.6225958284995312,0.351039068838455,0.24310301132718926,0.2664977149225026,0.23176670990675285
0,,,,,,,,,,,,,,,,,0.7169059760953977,0.5830488289590918,0.9228232610131616,5.343907268108748,7.552258590102643,3.4822198977375582,1.8327296323404723,1.3863926522563663,1.3549675102375696,1.650110402566059,1.3372171920895513,0.8570569184421929,0.39441087881972253,0.24150501597491827,0.2566651840321408,0.14626527901662173
0,,,,,,,,,,,,,,,,,1.3676809731143968,0.9441634816314238,0.6571144323379734,1.924347732648818,3.9115663411901,5.659800804701443,2.8249839717891367,1.9833991639685271,1.7048562877287123,1.5431518708083827,1.6559519957730504,1.1439084784384268,0.575113161622562,0.3103471288336386,0.21617696002728046,0.1143704104350179
0,,,,,,,,,,,,,,,,,1.6113527481000207,2.27705970876528,1.8660076500467337,1.2440052234889765,2.1205167636338436,3.3123202995668,4.147981424743735,2.6935808703753827,2.1870728968290036,1.790009907824474,1.5253634408388241,1.3001702733486105,0.7625852447860175,0.4689478547543676,0.3008637025152946,0.17394041893260756
0,,,,,,,,,,,,,,,,,1.4114235098201195,2.303903166174412,2.102565139351155,1.647847097245992,1.4689829438341282,2.3688542345684884,2.6725025693179814,3.6308767772555814,2.743024011909098,1.983506493771968,1.5034260535596133,0.992680051617756,0.7573038350248599,0.6204882026776843,0.498416835655534,0.20093225628396744
0,,,,,,,,,,,,,,,,,0.7958834536688283,1.537667580491028,2.0469900740032827,2.0653046023225747,1.438351699253432,1.7606982839179333,2.0072813508526055,2.2271220900850524,3.032265553210075,2.0777166845981005,1.628195591333506,0.7870421173183547,0.5360837713356132,0.44919621939121407,0.4151010375216215,0.2107753617398197
0,,,,,,,,,,,,,,,,,0.4306694236308945,0.9064795670879242,1.213873723453486,2.1085902719272127,1.2475056384780627,1.2402404586626907,1.2895994148660805,1.3982553663673516,1.585710388182703,1.984024383857902,1.3934266067144783,0.7310967218752215,0.35632549497551735,0.22488535582601907,0.308023075355322,0.2313854912282475
