Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,27160.8142,28511.83815,34005.13007,38738.47101,49017.43227,52157.13581,45400.82679,38731.33532,35767.64546,36227.89746,31545.69562,26120.19276,19811.05364,13146.3193,9752.109486,8068.086677
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
