Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,64865.56342,64193.68823,73664.8508,80346.02319,84101.6916,83143.98477,76756.61542,68593.90131,63347.58101,59393.76636,49284.89175,39202.20889,29048.9222,21066.13398,16238.88159,22733.29546
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
