Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,45074.77525,44930.27988,50516.69323,54554.78309,61856.24534,61366.07259,56491.02107,48164.75319,43179.66288,38788.11511,32883.81194,24926.56301,18069.7019,12064.25198,8659.718738,11020.5508
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
