Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,21648.43001,21973.1896,26102.2758,28037.57784,34538.29274,35493.79289,31780.04548,25568.74219,24942.42013,25410.78089,23841.10955,19160.81574,13832.10739,9740.578418,7556.735876,12470.10544
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
