Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,103649.387,112351.5861,128535.8996,134395.5158,149721.4893,151067.8632,139532.7136,128015.7583,120288.5566,111534.9857,96074.16079,76069.05637,60545.08678,43804.24346,35221.91239,54918.78494
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
