Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,81966.19264,82998.76407,96127.9477,105147.4754,124655.5834,118490.5565,99907.52826,84239.80417,74217.021,61273.50478,50110.65853,38090.05052,27480.9492,20060.76718,15061.862,22055.33469
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
