case,3,4,7,11,17,21,23,25,25,31,34,36,38,39,45,48,55,57,60,68,74,76,86,105,112,123,136,154,172,185,191,215,235,256,272,300,344,408,474,567,635,696,808,875,994,1124,1192,1192,1263,1307,1311,1317,1323,1437,1644,1801,1801,2106,2174,2596,2841,3135,3354,3619,3760,3895,4020,4104
day,1,3,4,5,7,8,9,11,12,13,14,17,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
death,1,2,3,4,5,7,9,10,13,15,17,18,20,22,24,25,31,33,35,36,39,46,46,49,51,53,56,61,64,67,69,75,80,85,92,98,105,110,114,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,21,22,28,31,33,35,38,39,42,43,44,45,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
month,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leitos,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
