Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,36829.11009,38836.38386,43271.53769,41061.83957,41272.74877,40872.74856,36472.74627,29238.80311,25231.52829,19584.25262,16099.40232,12341.82461,8653.33784,6335.760875,4484.85082,6732.124718
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
