Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,140890.1399,153219.1245,181376.8457,193242.5811,231389.7729,244064.6078,226139.616,189137.8552,179081.7529,174435.5121,156476.6755,125774.257,98559.95647,72991.35377,56482.55049,88807.39864
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
