Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,78135.1775,83294.12864,93666.762,91817.94629,95663.35162,95395.16936,89545.51205,80709.72727,73255.35484,61968.71252,50967.76642,40016.07828,29809.82739,20558.08645,15017.1124,9408.142652
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
