Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,58331.92809,61420.69809,72886.82037,78285.55851,90237.46809,86604.5282,74574.40797,64478.62444,63806.67377,58742.80941,47275.58556,36256.69602,30109.99967,20512.12058,15984.7152,24613.36602
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
