Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,26574.42319,25445.15758,27642.1163,30801.96391,35389.76919,34405.91946,29946.49936,23514.1396,19184.41475,14789.18725,10769.94494,7591.756587,4893.047602,3339.324856,2183.858193,2655.477239
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
