Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,62785.51858,65259.29627,75399.76667,78791.25321,93429.98402,88045.87965,77923.46602,64520.0308,57760.42531,51317.3444,42883.76998,33309.43247,24386.2009,16783.23796,12803.31311,19446.08067
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
