Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,43695.44005,45463.77079,51329.78476,51887.09933,57653.01911,54608.17849,48088.46294,39757.16609,35799.12043,30681.95931,24000.36303,16733.03037,11169.77044,7235.203663,4918.208468,6523.422739
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
