Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,386981.5037,420708.6545,495980.571,493411.1972,540777.1838,585845.9356,557517.9778,498068.3865,467410.2396,464332.7314,435984.5758,371719.4018,296718.5612,219202.5619,181624.0079,302619.5104
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
