Faixa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
POPULATION_S BRAZIL,177418.1421,191743.0771,224276.9111,232477.4641,270043.9192,306798.7997,282552.473,233461.874,213249.8029,189425.3662,161922.0062,123126.3807,89535.138,61050.58867,46016.06266,69248.99461
Mortalidade por cem mill habitantes,0.53,0.24,0.29,1,1.4,1.5,1.7,2.1,2.8,4,5.9,8.4,12.1,27.8,42.9,51
Natalidade,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
